"CUPS","Fecha","Hora","Consumo_kWh","Metodo_obtencion"
"ES0031102870658016TJ0F","16/01/2024","3","0,074","R"
"ES0031102870658016TJ0F","16/01/2024","4","0,075","R"
"ES0031102870658016TJ0F","16/01/2024","5","0,08","R"
"ES0031102870658016TJ0F","16/01/2024","6","0,082","R"
"ES0031102870658016TJ0F","16/01/2024","7","0,074","R"
"ES0031102870658016TJ0F","16/01/2024","8","0,451","R"
"ES0031102870658016TJ0F","16/01/2024","9","0,95","R"
"ES0031102870658016TJ0F","16/01/2024","10","0,131","R"
"ES0031102870658016TJ0F","16/01/2024","11","0,129","R"
"ES0031102870658016TJ0F","16/01/2024","12","0,143","R"
"ES0031102870658016TJ0F","16/01/2024","13","0,132","R"
"ES0031102870658016TJ0F","16/01/2024","14","0,126","R"
"ES0031102870658016TJ0F","16/01/2024","15","0,137","R"
"ES0031102870658016TJ0F","16/01/2024","16","0,636","R"
"ES0031102870658016TJ0F","16/01/2024","17","0,338","R"
"ES0031102870658016TJ0F","16/01/2024","18","1,457","R"
"ES0031102870658016TJ0F","16/01/2024","19","0,761","R"
"ES0031102870658016TJ0F","16/01/2024","20","0,234","R"
"ES0031102870658016TJ0F","16/01/2024","21","0,205","R"
"ES0031102870658016TJ0F","16/01/2024","22","0,073","R"
"ES0031102870658016TJ0F","16/01/2024","23","1,987","R"
"ES0031102870658016TJ0F","17/01/2024","0","1,279","R"
"ES0031102870658016TJ0F","17/01/2024","1","0,094","R"
"ES0031102870658016TJ0F","17/01/2024","2","0,074","R"
"ES0031102870658016TJ0F","17/01/2024","3","0,085","R"
"ES0031102870658016TJ0F","17/01/2024","4","0,076","R"
"ES0031102870658016TJ0F","17/01/2024","5","0,084","R"
"ES0031102870658016TJ0F","17/01/2024","6","0,076","R"
"ES0031102870658016TJ0F","17/01/2024","7","0,071","R"
"ES0031102870658016TJ0F","17/01/2024","8","0,559","R"
"ES0031102870658016TJ0F","17/01/2024","9","0,121","R"
"ES0031102870658016TJ0F","17/01/2024","10","0,119","R"
"ES0031102870658016TJ0F","17/01/2024","11","0,136","R"
"ES0031102870658016TJ0F","17/01/2024","12","0,126","R"
"ES0031102870658016TJ0F","17/01/2024","13","0,13","R"
"ES0031102870658016TJ0F","17/01/2024","14","0,129","R"
"ES0031102870658016TJ0F","17/01/2024","15","0,126","R"
"ES0031102870658016TJ0F","17/01/2024","16","1,66","R"
"ES0031102870658016TJ0F","17/01/2024","17","1,049","R"
"ES0031102870658016TJ0F","17/01/2024","18","0,156","R"
"ES0031102870658016TJ0F","17/01/2024","19","0,121","R"
"ES0031102870658016TJ0F","17/01/2024","20","0,113","R"
"ES0031102870658016TJ0F","17/01/2024","21","0,127","R"
"ES0031102870658016TJ0F","17/01/2024","22","0,127","R"
"ES0031102870658016TJ0F","17/01/2024","23","1,638","R"
"ES0031102870658016TJ0F","18/01/2024","0","2,32","R"
"ES0031102870658016TJ0F","18/01/2024","1","1,173","R"
"ES0031102870658016TJ0F","18/01/2024","2","0,093","R"
"ES0031102870658016TJ0F","18/01/2024","3","0,081","R"
"ES0031102870658016TJ0F","18/01/2024","4","0,089","R"
"ES0031102870658016TJ0F","18/01/2024","5","0,081","R"
"ES0031102870658016TJ0F","18/01/2024","6","0,078","R"
"ES0031102870658016TJ0F","18/01/2024","7","0,076","R"
"ES0031102870658016TJ0F","18/01/2024","8","0,174","R"
"ES0031102870658016TJ0F","18/01/2024","9","0,506","R"
"ES0031102870658016TJ0F","18/01/2024","10","0,123","R"
"ES0031102870658016TJ0F","18/01/2024","11","0,127","R"
"ES0031102870658016TJ0F","18/01/2024","12","0,128","R"
"ES0031102870658016TJ0F","18/01/2024","13","0,14","R"
"ES0031102870658016TJ0F","18/01/2024","14","0,126","R"
"ES0031102870658016TJ0F","18/01/2024","15","0,124","R"
"ES0031102870658016TJ0F","18/01/2024","16","0,433","R"
"ES0031102870658016TJ0F","18/01/2024","17","1,381","R"
"ES0031102870658016TJ0F","18/01/2024","18","0,592","R"
"ES0031102870658016TJ0F","18/01/2024","19","0,118","R"
"ES0031102870658016TJ0F","18/01/2024","20","0,122","R"
"ES0031102870658016TJ0F","18/01/2024","21","0,119","R"
"ES0031102870658016TJ0F","18/01/2024","22","0,076","R"
"ES0031102870658016TJ0F","18/01/2024","23","0,077","R"
"ES0031102870658016TJ0F","19/01/2024","0","2,078","R"
"ES0031102870658016TJ0F","19/01/2024","1","0,801","R"
"ES0031102870658016TJ0F","19/01/2024","2","0,09","R"
"ES0031102870658016TJ0F","19/01/2024","3","0,086","R"
"ES0031102870658016TJ0F","19/01/2024","4","0,075","R"
"ES0031102870658016TJ0F","19/01/2024","5","0,077","R"
"ES0031102870658016TJ0F","19/01/2024","6","0,089","R"
"ES0031102870658016TJ0F","19/01/2024","7","0,075","R"
